OBJECTID,TRACT,GEOID,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
83,600,11001000600,4539,4395,3878,225,10,207,2,73,51,23,65,9,332,3647,217,6,204,2,13,41,24,61,4,3812,3273,207,9,177,2,59,23,19,37,8,272,3087,199,6,176,2,4,18,18,36,3,2234,2108,126,356.5130678,0.55705167,5202.370432,1442757.207,882856096,87171,413850238,81528.5,838428665,84947,887637225,91538,883701442,98902.5,1101811669,103485
84,701,11001000701,4620,4502,3848,235,18,288,4,109,37,13,60,13,407,3583,215,8,285,4,27,30,10,55,9,4255,3586,212,15,266,3,84,27,12,46,7,354,3342,198,7,263,3,17,20,9,42,7,3275,2974,301,135.8615743,0.21228371,3198.46539,549812.2876,268583555,68493,265927884,68775,291704733,68526.5,312019324,70192.5,302248205,72115,322343565,73385
85,702,11001000702,3364,3259,2751,192,7,224,1,84,31,18,54,3,357,2511,180,3,217,1,16,25,9,49,2,3205,2642,183,7,211,1,69,26,15,48,2,318,2426,172,3,204,1,11,22,8,44,1,2471,2293,178,72.37383693,0.11308412,2738.796618,292886.5285,86235734,50407,121237434,56357.5,113045300,52965,116865629,55189,98468564,56642.5,117499800,58111
86,801,11001000801,6709,6526,5719,316,5,374,1,111,58,13,118,5,572,5284,299,3,372,1,27,48,15,97,5,5691,4880,278,5,325,0,86,36,19,73,5,476,4506,266,3,323,0,18,30,15,69,5,3528,3207,321,760.0951203,1.18764863,8440.167935,3075995.838,556165589,97849.5,429046240,94346,582273934,94581,932925890,99819.5,682255278,114495,762051697,122703
87,802,11001000802,2869,2775,2390,107,4,232,2,40,23,8,62,3,231,2211,98,3,232,2,10,19,6,61,3,2438,2043,89,4,207,2,34,17,8,32,3,187,1898,86,3,207,2,6,14,6,31,3,1423,1336,87,563.0443164,0.87975675,6636.141912,2278559.521,211883023,89712.5,240968712,78663,288028817,83610,342246891,84441,354030099,94580,379610865,94907
88,901,11001000901,7175,6946,6135,260,16,451,3,81,55,23,152,13,436,5807,249,12,447,3,22,52,22,138,10,6130,5204,233,16,432,3,64,40,22,117,13,382,4919,224,12,428,3,12,38,19,106,10,1661,1558,103,748.3641243,1.16931895,7095.702947,3028522.181,610398683,166298,443181730,138978.5,674640174,153391,754404800.1,168203,760449847,189371,946256227,197155
89,2802,11001002802,4277,4043,1753,1069,51,181,2,987,65,37,40,9,1843,1125,1034,9,180,1,4,43,18,28,2,3568,1564,854,38,166,2,750,55,32,34,7,1412,1073,834,7,165,1,3,37,17,28,2,2142,1935,207,56.34356824,0.08803683,2102.606972,228014.3323,76017142,25506,113498858,31154.5,98267866,28033.5,104928617,28800,90869593,29954,111655848,34182
90,2900,11001002900,3962,3719,1606,1246,29,125,5,708,52,28,48,11,1370,1159,1213,4,125,5,17,31,11,40,3,3364,1460,1038,20,112,5,542,36,25,34,11,1058,1099,1016,3,112,5,16,23,11,30,3,1643,1448,195,74.70801484,0.11673127,2357.398917,302332.6115,95743613,29736,137466819,37310,117975868,32774,132985526,35366,134545107.6,33953.5,158259296,36677
91,3000,11001003000,3398,3247,1376,1455,5,125,5,281,74,41,46,9,532,1223,1409,2,124,2,7,61,30,43,3,2854,1328,1058,5,121,4,219,57,36,39,8,420,1195,1034,2,120,2,4,46,25,36,3,1599,1489,110,52.36530139,0.08182078,1881.223518,211914.8575,80525394,36678.5,108032013,42954,99841782,39491,114641347.3,40710.5,96242269,40821,113004657,45303
92,3100,11001003100,2885,2757,949,1086,18,101,0,603,38,24,20,11,1037,652,1056,1,97,0,6,22,9,16,4,2439,856,919,15,92,0,460,31,18,17,10,789,628,894,1,90,0,5,19,8,15,4,1131,1009,122,72.84079601,0.11381374,2574.255445,294776.2449,60468985,28420,96124283,35170,75002721,31472.5,86351514.2,34062,92848628,36878,109392822,39963
93,3200,11001003200,4913,4803,1114,2917,22,92,1,657,56,32,16,1,1188,723,2836,14,92,1,9,37,19,13,0,3957,973,2313,18,83,1,485,40,24,14,1,876,689,2248,11,83,1,8,30,16,11,0,1840,1669,171,109.9259668,0.17175932,3050.48105,444854.6074,91044809,27905.5,119332154,31551,103489228,29164,117284066,29825,120006056,32218,139048784,35833.5
94,9811,11001009811,4365,4293,13,4246,12,4,0,18,65,29,29,2,37,11,4228,10,4,0,12,58,24,26,1,2945,11,2864,9,4,0,14,37,22,15,2,25,9,2853,8,4,0,9,33,18,13,1,1979,1819,160,115.3839958,0.18028749,3543.40432,466942.4673,36490017,20544,41515657,18977,39029707,20337,39500324,18576,41258037,20195.5,44315187,20516
95,9901,11001009901,2249,2212,94,2094,15,3,0,6,30,11,6,4,39,74,2081,15,3,0,1,29,10,6,4,1876,84,1745,10,3,0,6,23,11,6,4,30,68,1737,10,3,0,1,22,10,6,4,1070,1007,63,519.4044816,0.81156951,5944.80074,2101955.375,70749621,53475,68391309,49969,72050910,48382,71597532,51018.5,75281959,52425,78879964,51745
96,9902,11001009902,2905,2872,27,2813,12,3,0,17,30,12,8,0,44,24,2789,11,3,0,4,27,12,8,0,2273,25,2199,10,3,0,13,20,11,4,0,30,22,2182,10,3,0,3,20,11,4,0,1292,1175,117,319.8713549,0.499799,5340.361444,1294473.455,54350597,38024,57137569,37244,54368604,36560,59607982.49,40299.5,58509163,38499.5,62164914,38607
97,9903,11001009903,1851,1809,17,1774,3,2,0,13,40,23,5,0,30,16,1760,2,2,0,3,37,22,5,0,1358,15,1306,3,0,0,6,26,15,4,0,19,14,1297,2,0,0,2,23,14,4,0,722,644,78,92.86866799,0.14510729,3223.432199,375826.1677,32456553.32,33233.5,35118730,33430,32138301,32154,33996201,33445.5,36133543,33897,40012643,36360.5
98,9904,11001009904,2243,2215,63,2055,8,7,0,82,26,14,4,0,162,22,2024,6,7,0,1,19,14,4,0,1546,46,1417,8,3,0,51,19,11,3,0,98,19,1401,6,3,0,1,16,11,3,0,1137,874,263,104.9661255,0.16400957,2987.978458,424782.8417,26767870,26576.5,35494438.76,27487,27871815,26508,31120583,25681.5,34077779,28267,38243219,29601.5
99,9905,11001009905,2795,2729,24,2676,7,3,2,17,57,25,0,4,52,20,2656,7,3,2,2,49,24,0,4,2012,22,1933,6,3,2,12,31,18,0,3,29,19,1923,6,3,2,0,29,17,0,3,1330,1104,226,106.6063745,0.16657246,2908.054569,431420.6939,30819168.68,26468,36150350,27355,31738883,25668,34320695,25986,35638365,26497,40068077,28297
100,9906,11001009906,1296,1264,11,1241,3,3,0,6,28,15,3,0,31,8,1227,1,3,0,0,24,12,2,0,1001,11,956,2,3,0,6,19,12,2,0,23,8,948,1,3,0,0,16,10,2,0,756,592,164,61.26893443,0.09573271,2139.297318,247946.5823,16913306,27813,21931724,26833,17588909,26361,19399569,29004,22813412,28540,24288526,28732
101,9907,11001009907,2836,2789,13,2763,4,6,1,2,47,22,7,2,30,10,2746,3,6,1,0,40,22,7,2,1893,11,1847,2,4,1,2,26,13,3,0,21,8,1835,1,4,1,0,23,13,3,0,1176,1097,79,115.3748945,0.18027327,3177.056629,466905.6357,27930889,23122,31452975.28,22424,29040909,22048.5,30367917.47,21635.5,31646541,23380,33496320,23804.5
102,10100,11001010100,2621,2540,1672,393,4,388,2,81,25,22,33,2,298,1477,381,4,382,2,14,18,16,30,1,2529,1639,370,4,373,2,67,21,19,32,2,268,1457,360,4,367,2,14,15,14,29,1,2067,1794,273,143.2457796,0.22382153,3436.583212,579695.1064,94655251,55985.5,122209400,64721,108470412,59866,131214216,67512,92406308,66081.5,116764932,71341
103,10200,11001010200,2324,2208,1132,918,8,118,1,31,78,37,28,1,138,1057,900,5,118,1,8,64,30,27,1,2193,1097,857,8,111,1,31,58,35,20,1,128,1029,839,5,111,1,8,47,30,19,1,1654,1465,189,342.5228012,0.53519188,5083.27201,1386140.606,87260141,60379.5,103762693,62109,103406574,61275,111525170,63261.5,109619741,62140,135720406,67011
104,10300,11001010300,3187,3057,725,1915,36,67,3,311,68,37,27,9,527,606,1872,17,66,3,14,61,25,25,3,2677,655,1623,31,62,3,216,53,29,13,8,384,559,1589,17,61,3,7,47,20,12,3,1306,1173,133,268.3257731,0.41925902,5400.810304,1085875.885,67033876.8,35106.5,76672409,36564.5,70736519,35263,75275047,35107,80323393,36951,86842954,36933
105,10400,11001010400,4365,4281,129,4115,9,12,1,15,75,43,19,4,85,105,4082,7,12,1,0,67,41,17,3,3362,114,3157,7,10,1,13,55,33,9,4,64,98,3133,5,10,1,0,48,31,8,3,1828,1528,300,670.3869116,1.04747956,7779.672186,2712959.595,41916212,26314,45848533,24753,44255870,25687,46502276,26338,47671783,25165.5,50092794,25363
106,7503,11001007503,2425,2388,39,2319,8,6,0,16,34,14,4,4,37,37,2308,2,6,0,3,30,14,4,4,1641,39,1561,5,5,0,13,16,12,1,3,22,37,1555,2,5,0,3,16,12,1,3,1000,857,143,123.4927113,0.19295736,2859.529841,499757.2746,26718856,24918,29135292,23253,28871602,24616.5,28340224,22439.5,30892418,22427,34675207,23658
107,7504,11001007504,2451,2406,25,2370,5,4,0,2,45,18,6,0,6,24,2370,5,4,0,0,42,17,6,0,1652,22,1589,3,4,0,2,32,12,4,0,6,21,1589,3,4,0,0,29,11,4,0,1215,1007,208,196.8296174,0.30754628,4403.700241,796541.206,22978274,22252,28493704,20654,25984323,21037,27086707,19965,29579990,21006.5,31827145,22229.5
108,1902,11001001902,1969,1891,237,1537,2,24,0,91,68,29,10,0,179,177,1525,0,24,0,5,52,23,10,0,1625,201,1284,2,24,0,61,45,23,4,0,126,161,1275,0,24,0,3,31,18,4,0,861,807,54,219.4695761,0.34292122,3998.172028,888161.8687,58668759,46399,60643912,46000.5,59659989,47090,61493116,49240,67370032,49598,71508164,51168
109,2001,11001002001,2340,2244,598,1172,10,61,4,399,69,26,16,2,629,441,1138,6,58,4,10,43,20,11,1,1897,503,980,7,48,4,288,52,22,5,2,470,384,951,3,46,4,1,34,18,2,1,1026,915,111,156.3814874,0.24434608,4208.850577,632853.4303,74238446,32239,77796183,32255,72835604,33930.5,89402790,33028,89897212,31824,94288662,34251
110,2002,11001002002,3813,3611,778,2297,14,54,9,459,106,31,30,55,794,577,2247,9,53,2,36,75,25,29,11,2994,624,1869,12,48,9,303,69,26,14,39,541,487,1829,9,47,2,15,55,20,13,11,1436,1334,102,209.8348471,0.32786695,4418.371751,849171.5035,99551003,34078,111106825,34515,103023441,32810,116228210,33151,127883153,38577,137968594,39738.5
111,2101,11001002101,5309,5075,675,3301,34,99,9,957,128,47,26,6,1651,260,3203,13,95,1,6,72,36,17,4,4155,536,2685,24,77,6,658,88,33,17,6,1152,239,2619,7,74,1,2,54,25,12,4,2183,1983,200,148.5262071,0.2320722,3187.288051,601064.2388,94312486.76,26813,111940633,28176.5,100905873,27449.5,107570821,27870.5,112888946,29257,126189873,30443
112,2102,11001002102,4648,4523,398,3583,15,27,0,500,110,47,15,3,724,278,3512,12,27,0,13,76,37,8,3,3652,334,2881,7,23,0,322,73,35,12,3,476,252,2834,6,23,0,4,51,28,7,3,2173,1900,273,179.3648575,0.28025759,3547.753543,725863.8299,92766959.97,32803,113649527,33861.5,103545279,33094,107590365,34640,119845798,36433.5,130031411,38248
113,2201,11001002201,3442,3354,432,2331,12,55,0,524,59,22,10,3,823,227,2281,4,55,0,10,36,20,8,2,2724,354,1903,9,47,0,352,38,18,6,3,569,198,1869,4,47,0,4,29,16,4,2,1186,1110,76,102.5805159,0.16028206,2575.698246,415128.622,70400837,30903,85149168,32313,75036081,31369.5,79524709,31352.5,91456684.98,36545,100975796,38447
114,2202,11001002202,3087,2946,285,2177,26,28,1,429,105,34,19,19,648,174,2130,10,28,0,4,81,22,18,19,2440,232,1761,18,28,1,308,74,28,12,18,448,160,1727,9,28,0,4,56,17,11,18,1434,1272,162,171.8511756,0.26851746,3340.613292,695457.0376,53733218,29485.5,65242968,29500,59185960,31222,64348461,30895,68791897,31094,76191464,34486
115,9302,11001009302,1189,1142,221,835,11,20,0,55,37,19,5,4,125,178,821,4,20,0,0,34,18,5,4,958,198,664,7,14,0,42,26,17,2,4,97,162,654,3,14,0,0,24,16,2,4,545,460,85,99.66119489,0.15572062,2780.136505,403314.549,29300075,38413,32262752,38884,30980311,39454,31339082,40970.5,35745645,40877,38583475,40697.5
116,2301,11001002301,2974,2899,474,2137,20,37,2,229,44,15,12,18,402,371,2113,7,37,0,5,29,15,11,1,2398,416,1728,13,28,2,156,28,14,10,15,285,337,1710,6,28,0,4,18,14,9,1,1168,1069,99,101.9481159,0.15929393,2865.391245,412569.3898,66417176,37400,84654482,37194.5,74796443,36275,78771314,37362,98291254,41551,104003314,43663
117,2302,11001002302,2036,1983,1022,870,10,60,0,21,40,19,13,7,84,978,860,10,60,0,2,31,18,13,3,1915,1004,778,10,58,0,19,34,19,11,7,68,968,772,10,58,0,2,27,18,10,3,1573,1216,357,497.9453067,0.77803955,5876.136673,2015113.174,26615661,30605,31103989,37487,29334569,33921,31213085,35344,28685547,39185,33413912,44461
118,2400,11001002400,3618,3524,793,2293,15,60,1,362,54,31,18,4,685,560,2240,5,60,1,8,39,26,16,3,2951,696,1864,11,54,1,247,46,30,12,4,494,517,1827,5,54,1,5,33,24,11,3,1384,1275,109,137.4659672,0.21479058,3265.934715,556305.0356,80149660,36059,106668159,38006,91479505,35654,103751959,37713.5,112743138,42453,129540107,44564.5
119,2501,11001002501,2554,2439,613,1432,11,25,4,354,50,26,19,32,589,463,1398,7,25,1,14,44,24,16,2,2092,514,1220,11,22,3,240,35,22,10,25,430,395,1191,7,22,1,8,30,20,9,2,1042,1004,38,134.2792123,0.20981127,3106.147797,543408.6957,63870734,31549,74481381,31627.5,69649528,29087.5,75809953,31390,79878737,34334,87120014,35144
120,2502,11001002502,5973,5514,1493,2496,39,91,5,1390,116,47,60,175,2532,837,2363,13,90,5,28,72,28,47,2,4826,1281,2079,28,83,4,1003,83,43,41,131,1876,778,1985,7,82,4,19,51,26,33,2,2415,2151,264,149.3620054,0.23337814,3238.906671,604446.5946,116055853,26090,156512610,32326,135667766,28524,149546964,30983,153589572,34494,184029268,37513
121,2600,11001002600,2166,2074,916,1026,6,67,0,59,66,23,23,2,149,842,1017,6,67,0,12,57,16,22,2,1816,782,867,6,55,0,45,45,20,12,2,117,723,858,6,55,0,9,40,16,11,2,1001,947,54,547.6484326,0.85570068,9204.269399,2216254.59,134692240,78044,120160981,74993.5,137593664,78133,150712513,79794,164390717,82203,170973446,81819
122,2701,11001002701,5233,4989,2828,1281,29,276,2,573,124,56,88,12,1269,2267,1236,16,267,2,18,86,33,73,7,4623,2548,1169,24,250,2,444,99,53,60,11,1004,2092,1128,15,243,2,17,70,30,51,7,2845,2655,190,111.2639069,0.17384986,3377.590811,450269.0588,137493357,35394.5,184313228,42690,169063427,39237,178818098.7,41223.5,175143270.6,43441,226192119.8,47231
123,7601,11001007601,4355,4285,140,4109,7,21,0,8,64,31,12,2,61,124,4075,6,21,0,4,59,28,11,2,3411,132,3200,7,18,0,6,42,26,8,2,48,118,3175,6,18,0,2,39,24,7,2,2196,1855,341,312.1095815,0.48767122,4733.026791,1263062.672,65787519,28653,72209610,29757,67410946,28397,72573691,29717,76798005,30483.5,82541867,30846
124,7603,11001007603,4044,3961,244,3645,26,19,1,26,76,39,4,3,89,224,3613,23,19,0,1,72,38,4,2,3331,221,2990,19,15,1,20,59,27,4,3,72,205,2964,17,15,0,1,55,26,4,2,2328,2121,207,303.081921,0.4735655,4994.723368,1226529.026,95985961,42744,96251269,41564,96420454,41551,100710493,41409,100775617,41528.5,106625544,42402
125,7604,11001007604,3644,3594,148,3411,10,10,1,14,45,22,9,0,59,127,3387,9,10,1,4,43,21,8,0,2982,134,2779,9,10,1,10,36,18,7,0,45,115,2763,9,10,1,3,34,17,6,0,1931,1750,181,338.1567386,0.52836991,5427.176057,1368471.778,77030053,35693.5,80847329,36500.5,77577041,34254.5,82552503,36143,87515989,36633,94079938,38093.5
126,7605,11001007605,3447,3380,47,3292,16,11,0,14,62,29,11,2,43,37,3278,15,11,0,5,57,29,11,2,2763,43,2635,13,10,0,12,45,26,7,2,30,37,2623,13,10,0,4,45,26,7,2,1804,1581,223,112.1236986,0.17519328,3672.99917,453748.5125,53319053,31064,56942326,29971,55599933,30825.5,56534733,30292,59581383,31643,61946654,31588.5
127,7703,11001007703,5187,5105,53,4924,10,5,1,112,72,47,7,2,186,29,4886,9,5,1,5,63,39,5,2,3665,44,3476,8,3,1,82,42,32,5,2,140,24,3446,8,3,1,4,37,24,3,2,2338,2103,235,249.8804855,0.39043826,4509.848281,1011230.454,62080786,26835,66007045,24882,65408275,25046.5,65645025,25153,71794022,26023.5,76945859,26266
128,7707,11001007707,3867,3828,42,3740,12,1,0,33,37,19,2,1,64,42,3712,11,1,0,4,32,18,2,1,2841,38,2742,10,1,0,22,26,16,1,0,39,38,2728,9,1,0,3,22,15,1,0,1721,1555,166,208.256449,0.3254007,4424.682144,842783.953,58126835.3,31164,61842067,28427.5,57877113,29008,62097139,28629,64147480,30013,66746843,29422.5
129,7708,11001007708,2486,2438,11,2416,2,1,2,6,44,24,7,3,35,9,2395,2,1,2,1,41,23,6,2,1837,9,1782,2,1,2,4,34,18,6,3,24,9,1767,2,1,2,0,32,17,5,2,1262,1084,178,211.6010709,0.33062668,4293.393914,856319.1578,30562571,26240,34921404,25245,31748410,25109.5,33241592,24441,33292010,25265,34745840,25783
130,7709,11001007709,2007,1972,38,1896,8,3,0,27,32,19,6,0,47,29,1884,7,3,0,8,29,16,6,0,1599,34,1513,7,3,0,19,21,14,2,0,30,28,1505,6,3,0,7,20,12,2,0,1144,979,165,228.4714258,0.35698661,4638.997012,924591.0624,28571370,29896,30343665,30352,28310642,27863.5,31742090,28828,33881022,28981,34779735,28775
131,7803,11001007803,3293,3244,36,3126,15,8,0,59,40,20,10,5,103,22,3102,15,8,0,6,35,19,6,4,2543,32,2404,12,7,0,45,35,18,6,5,75,22,2387,12,7,0,6,32,17,4,4,1652,1438,214,247.7583517,0.38712243,4553.269283,1002642.483,47573443.6,29997,52825855,27686,48905994,27744.5,49369713,27604,57963981,28576,61989776,29393.5
132,7804,11001007804,3446,3366,24,3289,4,4,0,45,72,44,19,5,69,18,3277,4,4,0,5,63,42,19,5,2432,19,2323,4,4,0,28,47,27,12,5,42,16,2315,4,4,0,4,42,25,12,5,1378,1212,166,209.5098253,0.3273591,4574.80291,847856.1872,37285095,27108,42241373,24947,36383082,24256.5,40137177,24418,43080974,25264,45942286,25868
133,7806,11001007806,2347,2319,35,2247,13,3,1,20,27,21,0,7,75,22,2208,12,3,0,0,27,20,0,7,1797,30,1723,10,3,1,12,17,14,0,1,51,22,1695,9,3,0,0,17,13,0,1,1102,964,138,170.2268109,0.26597939,4130.207134,688883.4671,32232385,29933,35524039,27394,32201366,28847,35415431,29425.5,37422570,30052,42317490,30296.5
134,2702,11001002702,5226,5006,3439,699,48,205,1,614,65,38,58,14,1303,2924,652,15,202,0,24,43,21,52,11,4578,3057,635,37,185,1,494,46,32,44,12,1076,2620,591,11,183,0,15,32,18,39,9,2565,2311,254,124.9245239,0.19519457,3697.627805,505551.615,198770793,43840.5,223639542,48746.5,216772349,45791,238216199,47500,232110688,47399,270883128,50917
135,2801,11001002801,3773,3602,1241,1359,23,155,1,823,69,40,41,5,1382,817,1321,11,151,0,12,44,24,31,5,3145,1128,1088,16,129,1,641,53,30,38,4,1090,792,1058,6,125,0,10,32,18,28,4,1820,1646,174,42.47578244,0.06636841,1725.322841,171893.394,65733402,23606,94212705,28873,83898374,26426,90893505,28629,80041474,28917,97260309,33796
136,9603,11001009603,3373,3305,25,3236,10,7,1,26,53,35,17,4,62,17,3220,9,7,1,3,47,32,13,2,2646,22,2545,6,5,1,17,38,24,15,4,39,17,2536,5,5,1,2,34,22,11,2,1750,1588,162,157.9618479,0.24681539,3866.067516,639248.9224,50548063,29854,54782066,29205,51432289,28037.5,52174930,28187,55087454.94,27981,58282104,29140
137,9604,11001009604,1962,1925,31,1865,4,1,0,24,27,13,5,8,55,22,1859,1,1,0,0,21,12,4,3,1592,28,1514,2,1,0,16,22,13,4,8,39,21,1509,1,1,0,0,18,12,3,3,998,927,71,135.5452565,0.21178946,3139.245874,548532.1949,39320298,34892,42571608,36056.5,37671884,33177,38840511,34782.5,41657348,35693,42752988,35403
138,9700,11001009700,3177,3141,20,3098,6,4,5,8,34,17,3,3,32,13,3086,6,3,5,0,32,16,3,3,2256,16,2196,5,4,1,5,27,15,1,2,22,13,2187,5,3,1,0,25,14,1,2,1307,1179,128,101.3149124,0.15830455,3393.279077,410006.9065,37230924,28163.5,41269716,27242,39880533,28285,40335605,26811,41436665.8,27024,42553067,28849
139,9801,11001009801,1575,1554,16,1526,3,5,0,4,21,7,1,0,26,11,1512,3,5,0,2,16,7,1,0,1100,15,1058,3,5,0,4,15,6,1,0,14,10,1053,3,5,0,2,13,6,1,0,766,677,89,110.8391105,0.17318611,3275.822031,448549.9687,16467492,24531.5,19048407,25883.5,19081986,27074.5,18248824,25989,17778638.57,23323.5,19288881,24214
140,9802,11001009802,1693,1678,11,1665,1,0,0,1,12,3,1,2,27,10,1643,1,0,0,1,11,3,1,2,1136,10,1111,1,0,0,1,10,3,1,2,13,9,1103,1,0,0,1,9,3,1,2,848,677,171,49.60026818,0.07750042,2124.243896,200725.165,15926462,24440,18186608,23629,15540000,24559,16598367,23436,15661896,21843.5,17489336,21172
141,7807,11001007807,2139,2108,18,2053,2,5,0,30,30,9,8,0,49,9,2043,2,5,0,4,26,9,7,0,1593,13,1537,1,5,0,18,18,8,2,0,29,9,1531,1,5,0,1,16,8,2,0,906,810,96,129.4221394,0.20222209,3369.640893,523752.8192,26964218,27911.5,29022672,25588,27172275,26950.5,29864189,26722,31685807,25848,32933216,27008
142,7808,11001007808,3646,3592,34,3489,10,9,0,50,53,38,4,0,77,29,3470,8,9,0,12,40,33,3,0,2544,28,2431,9,5,0,33,37,26,2,0,51,24,2417,7,5,0,11,28,23,2,0,1598,1352,246,234.8368053,0.36693251,4159.121607,950350.8393,44146628.79,27911,47655483,24266,44039061,26488,45848749,25835,51644760,26059.5,55871889,27844.5
143,8701,11001008701,2407,2360,384,1888,4,38,3,43,34,15,16,0,114,356,1856,3,38,2,3,28,10,16,0,1978,357,1513,4,29,3,39,25,12,10,0,96,332,1491,3,29,2,2,19,7,10,0,972,873,99,95.00421447,0.14844409,2699.849929,384468.4178,48565203,34711,70853972,37790,57403391,35334,65364292,38164,74587120,41781,86810333,44960
144,8702,11001008702,1599,1557,221,1280,6,16,1,33,39,13,6,2,103,182,1265,6,13,1,1,27,9,6,2,1325,195,1055,6,16,1,20,30,11,5,0,72,167,1044,6,13,1,0,21,8,5,0,902,713,189,117.2238161,0.18316221,3710.812891,474387.9558,28412101,32251,59322798,41675,30878869,32047,43104817,38477.5,74934828,47601,159109427,53754
145,8802,11001008802,4119,4030,308,3607,29,35,4,47,68,36,15,6,172,268,3555,16,35,4,1,61,24,12,6,3301,274,2873,22,32,1,37,45,27,10,6,129,240,2840,10,32,1,1,41,18,8,6,1999,1746,253,116.5697592,0.18214025,2848.579921,471741.0813,62141902.81,28875.5,80440359,31959.5,68412661,29125,73584575,29903,86766327.42,35199,99751561,38882.5
146,8803,11001008803,2037,1958,694,1143,9,54,5,53,43,21,29,6,167,621,1117,8,52,5,3,33,16,27,5,1709,673,860,9,49,5,45,32,22,28,6,146,603,842,8,47,5,3,24,16,27,5,612,442,170,284.5769847,0.44465154,5287.299629,1151642.205,9823344,16056,14330450,16546,11668374,16917,12715225,16095,18786961,21519,22956326,24186
147,9803,11001009803,2758,2719,23,2684,5,3,0,4,35,16,10,4,30,20,2667,5,3,0,0,29,14,10,4,2000,22,1943,5,2,0,4,22,11,5,2,21,19,1931,5,2,0,0,20,10,5,2,1416,1201,215,131.2132499,0.2050207,3195.473389,531001.1863,30971202,26640,33847590,23984,33180603,25128.5,33226454,25227,35039724,25379,37398304,26262.5
148,9804,11001009804,2473,2435,42,2369,5,4,0,15,32,13,4,2,56,14,2361,5,4,0,3,30,12,1,1,1778,28,1706,4,4,0,13,19,7,2,1,39,11,1700,4,4,0,2,18,7,0,1,1071,955,116,128.0743509,0.20011617,3761.594319,518298.5125,32581400,27829,34316210,27427.5,33095951,27152.5,34012746,27000,37891027,28276.5,40708270,29122
149,9807,11001009807,3072,3022,56,2937,4,13,0,12,48,24,3,0,58,38,2912,3,13,0,1,46,24,3,0,2396,46,2304,4,12,0,11,18,12,1,0,42,36,2283,3,12,0,1,18,12,1,0,1551,1350,201,256.6267697,0.40097933,5057.760632,1038531.697,49300774.86,31540.43,50089141,29196,50160528,29574.5,51025204,29638,52225202,28837,55085531,30509
150,9810,11001009810,2507,2483,15,2456,3,1,0,8,23,12,8,0,22,15,2439,3,1,0,6,21,12,6,0,1734,13,1692,3,1,0,6,18,11,8,0,17,13,1680,3,1,0,4,16,11,6,0,1171,1103,68,101.9167672,0.15924495,2811.707456,412442.5261,20731641,22114,23630871,20845,22087145,21242,22667655,21012.5,23590181.04,22107,25212674,21337
151,10500,11001010500,3410,3296,1101,1888,15,231,2,59,63,33,43,10,212,1000,1858,13,228,2,10,49,26,35,4,2946,1074,1501,14,211,2,50,47,28,38,10,190,977,1477,13,208,2,10,35,20,30,4,2347,2000,347,185.9731461,0.29058304,3700.255222,752606.625,84029289,45706.5,112250955,52096,98303018,48448,105746983,51276.5,106072495,52567,124766159,56785
152,10600,11001010600,3933,3814,1624,1992,15,126,0,57,70,44,38,3,177,1548,1969,3,123,0,10,63,39,35,2,3397,1503,1622,14,117,0,47,52,37,33,2,141,1442,1603,3,115,0,10,48,33,30,2,1927,1670,257,305.5641749,0.47744403,5269.162516,1236574.351,121226133,46770,256230114,55071.5,161447062,51645,209503581,53822,231914897.6,55353,313701867,58798.5
153,10700,11001010700,1838,1775,1442,89,6,209,0,29,12,7,40,7,137,1344,85,5,207,0,4,10,6,38,7,1821,1433,86,6,207,0,28,10,8,40,7,134,1336,83,5,205,0,4,8,6,39,7,1413,1244,169,220.2939869,0.34420936,3825.465074,891498.1408,76742725,55538.5,121704083,63057,65155219,58724,148356514,60245,131895201,71866,156457298,72231
154,10800,11001010800,6408,6194,5146,279,2,708,3,56,133,32,150,27,268,4946,277,2,706,2,6,129,29,149,27,6381,5132,270,2,706,3,56,131,32,148,27,265,4933,269,2,704,2,6,128,29,148,27,1115,1034,81,163.4646381,0.2554135,3482.465158,661517.9245,23332003.5,39566,35939787,42735,33571416,40108,44924794,39390,33640053,41873,38436301,47991.5
155,10900,11001010900,3211,3146,58,3055,6,15,0,12,61,22,9,0,47,49,3035,6,15,0,2,56,21,6,0,2356,56,2226,5,15,0,8,43,22,5,0,35,47,2211,5,15,0,1,41,21,4,0,1366,1161,205,1313.082864,2.05169199,11812.015,5313857.851,21483928,21961,25597789,20753.5,23779752,21350,25906312,20502,27129325,20661,27893573,21980
